created;negative;neutral;positive
2020-07-27;20010;4235;1430
2020-07-28;22825;5132;1582
2020-07-29;21550;4145;1437
2020-07-30;23226;4211;1524
2020-07-31;12277;3236;932
2020-08-01;20320;3847;1320
2020-08-02;20967;3872;1420
2020-08-03;25991;4818;1861
2020-08-04;20436;3692;1381
2020-08-05;24341;3931;1559
2020-08-06;23148;3877;1495
2020-08-07;20952;3654;1357
2020-08-08;18950;3400;1105
2020-08-09;17058;3393;1078
2020-08-10;10770;2441;719
2020-08-11;8266;2379;629
2020-08-12;9128;2537;694
2020-08-13;15712;3277;1089
2020-08-14;22461;3955;1487
2020-08-15;18160;3335;1225
2020-08-16;17768;3057;1110
2020-08-17;22142;3794;1407
2020-08-18;23989;4159;1477
